Player,Pos,Team,Season
James Harden,PG,HOU,2019
Paul George,SF,OKC,2019
Kemba Walker,PG,CHO,2019
Bradley Beal,SG,WAS,2019
Damian Lillard,PG,POR,2019
Kevin Durant,SF,GSW,2019
Giannis Antetokounmpo,PF,MIL,2019
Stephen Curry,PG,GSW,2019
Karl-Anthony Towns,C,MIN,2019
Blake Griffin,PF,DET,2019
Donovan Mitchell,SG,UTA,2019
Joel Embiid,C,PHI,2019
LaMarcus Aldridge,C,SAS,2019
D'Angelo Russell,PG,BRK,2019
Devin Booker,SG,PHO,2019
Buddy Hield,SG,SAC,2019
Klay Thompson,SG,GSW,2019
Russell Westbrook,PG,OKC,2019
Nikola Vučević,C,ORL,2019
Tobias Harris,PF,2TM,2019
Tobias Harris,PF,LAC,2019
Tobias Harris,PF,PHI,2019
DeMar DeRozan,SG,SAS,2019
Nikola Jokić,C,DEN,2019
Kyrie Irving,PG,BOS,2019
Kawhi Leonard,SF,TOR,2019
Julius Randle,PF,NOP,2019
Trae Young,PG,ATL,2019
Luka Dončić,SG,DAL,2019
LeBron James,SF,LAL,2019
Lou Williams,SG,LAC,2019
Zach LaVine,SG,CHI,2019
Mike Conley,PG,MEM,2019
CJ McCollum,SG,POR,2019
Bojan Bogdanović,SF,IND,2019
Anthony Davis,C,NOP,2019
Jrue Holiday,SG,NOP,2019
Khris Middleton,SF,MIL,2019
De'Aaron Fox,PG,SAC,2019
JJ Redick,SG,PHI,2019
Collin Sexton,PG,CLE,2019
Andre Drummond,C,DET,2019
Jamal Murray,PG,DEN,2019
Jordan Clarkson,SG,CLE,2019
Montrezl Harrell,C,LAC,2019
Pascal Siakam,PF,TOR,2019
Danilo Gallinari,SF,LAC,2019
Ben Simmons,PG,PHI,2019
Andrew Wiggins,SF,MIN,2019
Kyle Kuzma,PF,LAL,2019
Rudy Gobert,C,UTA,2019
Harrison Barnes,PF,2TM,2019
Harrison Barnes,PF,DAL,2019
Harrison Barnes,SF,SAC,2019
Reggie Jackson,PG,DET,2019
Aaron Gordon,PF,ORL,2019
Jayson Tatum,SF,BOS,2019
Eric Bledsoe,PG,MIL,2019
Evan Fournier,SG,ORL,2019
Dennis Schröder,PG,OKC,2019
Terrence Ross,SG,ORL,2019
Jimmy Butler,SG,2TM,2019
Jimmy Butler,SG,MIN,2019
Jimmy Butler,SF,PHI,2019
Josh Richardson,SG,MIA,2019
Jeremy Lamb,SG,CHO,2019
John Collins,PF,ATL,2019
Tim Hardaway Jr.,SG,2TM,2019
Tim Hardaway Jr.,SG,NYK,2019
Tim Hardaway Jr.,SG,DAL,2019
Deandre Ayton,C,PHO,2019
Spencer Dinwiddie,PG,BRK,2019
Jusuf Nurkić,C,POR,2019
Clint Capela,C,HOU,2019
Serge Ibaka,C,TOR,2019
Steven Adams,C,OKC,2019
Eric Gordon,SG,HOU,2019
Jerami Grant,PF,OKC,2019
Dwyane Wade,SG,MIA,2019
Marc Gasol,C,2TM,2019
Marc Gasol,C,MEM,2019
Marc Gasol,C,TOR,2019
Kelly Oubre Jr.,SF,2TM,2019
Kelly Oubre Jr.,SF,WAS,2019
Kelly Oubre Jr.,SF,PHO,2019
Marcus Morris,PF,BOS,2019
Domantas Sabonis,C,IND,2019
Joe Harris,SG,BRK,2019
Thaddeus Young,PF,IND,2019
Brook Lopez,C,MIL,2019
Malcolm Brogdon,SG,MIL,2019
Joe Ingles,PF,UTA,2019
Cedi Osman,SF,CLE,2019
Bogdan Bogdanović,SG,SAC,2019
Myles Turner,C,IND,2019
Lauri Markkanen,PF,CHI,2019
Bryn Forbes,SG,SAS,2019
Willie Cauley-Stein,C,SAC,2019
Jaylen Brown,SG,BOS,2019
Kevin Knox,PF,NYK,2019
Jae Crowder,SF,UTA,2019
Brandon Ingram,SF,LAL,2019
D.J. Augustin,PG,ORL,2019
Rudy Gay,PF,SAS,2019
Jeff Green,PF,WAS,2019
Kentavious Caldwell-Pope,SG,LAL,2019
Jabari Parker,PF,2TM,2019
Jabari Parker,PF,CHI,2019
Jabari Parker,PF,WAS,2019
Kyle Lowry,PG,TOR,2019
Al Horford,C,BOS,2019
Marvin Bagley III,PF,SAC,2019
Malik Beasley,SG,DEN,2019
Derrick Rose,PG,MIN,2019
Enes Freedom,C,2TM,2019
Enes Freedom,C,NYK,2019
Enes Freedom,C,POR,2019
Josh Jackson,SG,PHO,2019
Chris Paul,PG,HOU,2019
Derrick Favors,C,UTA,2019
JaVale McGee,C,LAL,2019
Shai Gilgeous-Alexander,PG,LAC,2019
Hassan Whiteside,C,MIA,2019
Paul Millsap,PF,DEN,2019
Jarrett Allen,C,BRK,2019
Emmanuel Mudiay,PG,NYK,2019
Ricky Rubio,PG,UTA,2019
Trevor Ariza,SF,2TM,2019
Trevor Ariza,SF,PHO,2019
Trevor Ariza,SF,WAS,2019
Dario Šarić,PF,2TM,2019
Dario Šarić,PF,PHI,2019
Dario Šarić,PF,MIN,2019
Justin Holiday,SG,2TM,2019
Justin Holiday,SG,CHI,2019
Justin Holiday,SG,MEM,2019
Alex Len,C,ATL,2019
Darren Collison,PG,IND,2019
Monte Morris,PG,DEN,2019
Wesley Matthews,SF,3TM,2019
Wesley Matthews,SF,DAL,2019
Wesley Matthews,SG,NYK,2019
Wesley Matthews,SG,IND,2019
Justise Winslow,SF,MIA,2019
Marco Belinelli,SG,SAS,2019
Gordon Hayward,PF,BOS,2019
Danny Green,SG,TOR,2019
Dwight Powell,C,DAL,2019
Patty Mills,PG,SAS,2019
Rodney Hood,SG,2TM,2019
Rodney Hood,SG,CLE,2019
Rodney Hood,SG,POR,2019
Jaren Jackson Jr.,PF,MEM,2019
Kelly Olynyk,PF,MIA,2019
Otto Porter Jr.,SF,2TM,2019
Otto Porter Jr.,SF,WAS,2019
Otto Porter Jr.,SF,CHI,2019
Kent Bazemore,SG,ATL,2019
Damyean Dotson,SG,NYK,2019
T.J. Warren,SF,PHO,2019
Jonas Valančiūnas,C,2TM,2019
Jonas Valančiūnas,C,TOR,2019
Jonas Valančiūnas,C,MEM,2019
Al-Farouq Aminu,PF,POR,2019
Thomas Bryant,C,WAS,2019
DeAndre Jordan,C,2TM,2019
DeAndre Jordan,C,DAL,2019
DeAndre Jordan,C,NYK,2019
Marvin Williams,PF,CHO,2019
Taj Gibson,PF,MIN,2019
DeMarre Carroll,PF,BRK,2019
Taurean Prince,SF,ATL,2019
Nemanja Bjelica,PF,SAC,2019
Gary Harris,SG,DEN,2019
Bam Adebayo,C,MIA,2019
Kevin Huerter,SG,ATL,2019
Landry Shamet,SG,2TM,2019
Landry Shamet,SG,PHI,2019
Landry Shamet,SG,LAC,2019
Dennis Smith Jr.,PG,2TM,2019
Dennis Smith Jr.,PG,DAL,2019
Dennis Smith Jr.,PG,NYK,2019
Jonathan Isaac,PF,ORL,2019
Reggie Bullock,SG,2TM,2019
Reggie Bullock,SG,DET,2019
Reggie Bullock,SG,LAL,2019
Bobby Portis,PF,2TM,2019
Bobby Portis,PF,CHI,2019
Bobby Portis,PF,WAS,2019
Tomáš Satoranský,PG,WAS,2019
Terry Rozier,PG,BOS,2019
Marcus Smart,SG,BOS,2019
Jeremy Lin,PG,2TM,2019
Jeremy Lin,PG,ATL,2019
Jeremy Lin,PG,TOR,2019
Tyreke Evans,SG,IND,2019
Robin Lopez,C,CHI,2019
Fred VanVleet,PG,TOR,2019
Nicolas Batum,SF,CHO,2019
Nikola Mirotić,PF,2TM,2019
Nikola Mirotić,PF,NOP,2019
Nikola Mirotić,PF,MIL,2019
Allonzo Trier,SG,NYK,2019
Dewayne Dedmon,C,ATL,2019
DeAndre' Bembry,SG,ATL,2019
Mikal Bridges,SF,PHO,2019
Jalen Brunson,PG,DAL,2019
Gerald Green,SG,HOU,2019
Victor Oladipo,SG,IND,2019
Langston Galloway,SG,DET,2019
John Wall,PG,WAS,2019
Derrick White,PG,SAS,2019
Malik Monk,SG,CHO,2019
Delon Wright,PG,2TM,2019
Delon Wright,PG,TOR,2019
Delon Wright,PG,MEM,2019
Mason Plumlee,C,DEN,2019
E'Twaun Moore,SG,NOP,2019
Trey Burke,PG,2TM,2019
Trey Burke,PG,NYK,2019
Trey Burke,PG,DAL,2019
Larry Nance Jr.,C,CLE,2019
Avery Bradley,SG,2TM,2019
Avery Bradley,SG,LAC,2019
Avery Bradley,SG,MEM,2019
Tyler Johnson,PG,2TM,2019
Tyler Johnson,PG,MIA,2019
Tyler Johnson,PG,PHO,2019
Austin Rivers,SG,2TM,2019
Austin Rivers,SG,WAS,2019
Austin Rivers,SG,HOU,2019
Luke Kennard,SG,DET,2019
JaMychal Green,PF,2TM,2019
JaMychal Green,PF,MEM,2019
JaMychal Green,PF,LAC,2019
Dorian Finney-Smith,SF,DAL,2019
Dāvis Bertāns,PF,SAS,2019
P.J. Tucker,PF,HOU,2019
Kyle Korver,SG,2TM,2019
Kyle Korver,PF,CLE,2019
Kyle Korver,SG,UTA,2019
Miles Bridges,SF,CHO,2019
Patrick Beverley,PG,LAC,2019
Garrett Temple,SG,2TM,2019
Garrett Temple,SG,MEM,2019
Garrett Temple,SG,LAC,2019
Justin Jackson,SF,2TM,2019
Justin Jackson,SF,SAC,2019
Justin Jackson,SF,DAL,2019
Seth Curry,SG,POR,2019
Richaun Holmes,C,PHO,2019
Noah Vonleh,PF,NYK,2019
Josh Okogie,SG,MIN,2019
Darius Miller,SF,NOP,2019
Doug McDermott,SF,IND,2019
Vince Carter,PF,ATL,2019
Alec Burks,SG,3TM,2019
Alec Burks,SG,UTA,2019
Alec Burks,SG,CLE,2019
Alec Burks,SG,SAC,2019
Caris LeVert,SF,BRK,2019
Markieff Morris,PF,2TM,2019
Markieff Morris,PF,WAS,2019
Markieff Morris,PF,OKC,2019
Trey Lyles,PF,DEN,2019
Wayne Ellington,SG,2TM,2019
Wayne Ellington,SG,MIA,2019
Wayne Ellington,SG,DET,2019
Ryan Arcidiacono,PG,CHI,2019
Jake Layman,SF,POR,2019
Cory Joseph,PG,IND,2019
Rodions Kurucs,SF,BRK,2019
Tony Parker,PG,CHO,2019
Shabazz Napier,PG,BRK,2019
Rondae Hollis-Jefferson,SF,BRK,2019
Dion Waiters,SG,MIA,2019
Josh Hart,SG,LAL,2019
Ivica Zubac,C,2TM,2019
Ivica Zubac,C,LAL,2019
Ivica Zubac,C,LAC,2019
Kris Dunn,PG,CHI,2019
Norman Powell,SG,TOR,2019
Wayne Selden,SG,2TM,2019
Wayne Selden,SG,MEM,2019
Wayne Selden,SG,CHI,2019
Terrance Ferguson,SG,OKC,2019
Zach Collins,C,POR,2019
Mario Hezonja,SF,NYK,2019
Jeff Teague,PG,MIN,2019
Quinn Cook,PG,GSW,2019
Jamal Crawford,SG,PHO,2019
Rodney McGruder,SG,MIA,2019
Ish Smith,PG,DET,2019
Kevon Looney,C,GSW,2019
Cody Zeller,C,CHO,2019
Frank Jackson,PG,NOP,2019
Will Barton,SF,DEN,2019
Goran Dragić,PG,MIA,2019
Evan Turner,PG,POR,2019
Lance Stephenson,SG,LAL,2019
DeMarcus Cousins,C,GSW,2019
Draymond Green,PF,GSW,2019
Gorgui Dieng,C,MIN,2019
Maxi Kleber,PF,DAL,2019
Mitchell Robinson,C,NYK,2019
Jahlil Okafor,C,NOP,2019
T.J. McConnell,PG,PHI,2019
Shaquille Harrison,SG,CHI,2019
Ed Davis,C,BRK,2019
Tristan Thompson,C,CLE,2019
OG Anunoby,SF,TOR,2019
Tyus Jones,PG,MIN,2019
Lonzo Ball,PG,LAL,2019
